"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"640","oa11","eo",9.97,1.10803333333333,1.0266,0.98336,1.2636,2.29958058397375,0.102586672108431,0.0262523711440657,-0.0167800000400172,0.233964789945793
"641","oa11","eo",10.967,0.924133333333333,0.891466666666667,0.85478,1.07,2.39489076377807,-0.0788989176064171,-0.114887232544358,-0.15691115309678,0.0676586484738147
"642","oa11","eo",11.964,0.700366666666667,0.703566666666667,0.68092,0.676433333333333,2.4819021407677,-0.356151271555243,-0.351592642643675,-0.384310454035767,-0.390921382667324
"643","oa11","eo",12.961,0.593166666666667,0.6136,0.56448,0.572033333333333,2.56194484844124,-0.522279862699999,-0.488412028929091,-0.571850325603765,-0.558558014241989
"644","oa11","eo",13.958,0.528433333333333,0.541,0.51914,0.546233333333333,2.63605282059496,-0.637838624801065,-0.614336000135655,-0.655581682673804,-0.604709044098068
"645","oa11","eo",14.955,0.481933333333333,0.531566666666667,0.50296,0.5225,2.70504569208191,-0.72994948708405,-0.63192665789632,-0.687244634907331,-0.649130295143171
"646","oa11","eo",15.952,0.439066666666667,0.486466666666667,0.5278,0.5831,2.76958421321948,-0.823104017148037,-0.720586896318727,-0.639037854912913,-0.539396580754027
"647","oa11","eo",16.949,0.388,0.4182,0.4488,0.506433333333333,2.83020883503592,-0.946749939358864,-0.871795491987604,-0.801177924773651,-0.680362586200526
"648","oa11","eo",17.946,0.333233333333333,0.3677,0.42296,0.542066666666667,2.88736724887587,-1.09891233367711,-1.00048789067491,-0.860477667054942,-0.612366283876509
"649","oa11","eo",18.943,0.360566666666667,0.361033333333333,0.3814,0.512966666666667,2.94143447014614,-1.020078411014,-1.01878498880856,-0.963906585815818,-0.667544413180441
"650","oa11","eo",19.94,0.3275,0.405466666666667,0.375,0.470233333333333,2.99272776453369,-1.11626722390683,-0.902716611847037,-0.980829253011726,-0.75452625356979
"651","oa11","eo",20.937,0.340933333333333,0.349066666666667,0.32556,0.394466666666667,3.04151792870312,-1.07606832423322,-1.05249235305456,-1.1222085025233,-0.930220637407653
"652","oa11","eo",21.934,0.3129,0.326633333333333,0.32824,0.4384,3.08803794433802,-1.1618716283073,-1.11891704200847,-1.11401023084821,-0.824623543348331
"653","oa11","eo",22.931,0.2837,0.2929,0.27294,0.3387,3.13248970690885,-1.25983793716733,-1.22792402514845,-1.29850328817217,-1.08264051915841
"654","oa11","eo",23.928,0.273333333333333,0.272666666666667,0.2452,0.3552,3.17504932132765,-1.29706322739195,-1.2995052310475,-1.40568107492008,-1.03507426786412
"655","oa11","eo",24.925,0.2773,0.252,0.22474,0.3219,3.2158713158479,-1.2826553263604,-1.37832619147071,-1.49281110050238,-1.13351434067737
"656","oa11","eo",25.922,0.254366666666667,0.223133333333333,0.22854,0.3486,3.25509202900118,-1.36897848335466,-1.49998577887302,-1.47604402926357,-1.05383014589622
"657","oa11","eo",26.919,0.257533333333333,0.209266666666667,0.19698,0.330833333333333,3.29283235698403,-1.35660611741807,-1.56414592324239,-1.62465307824058,-1.1061405550889
"658","oa11","eo",27.916,0.238933333333333,0.173133333333333,0.15956,0.300333333333333,3.32920000115491,-1.43157070598953,-1.7536932684216,-1.83533525194493,-1.20286231004191
"659","oa11","eo",28.913,0.214,0.1715,0.16558,0.327033333333333,3.36429132096618,-1.54177926396029,-1.76317201237614,-1.79830081727148,-1.1176931764809
"660","oa11","eo",29.91,0.175266666666667,0.156566666666667,0.1493,0.287,3.39819287264186,-1.74144665535447,-1.8542733746173,-1.90179757443699,-1.24827306322252
"661","oa12","ec",0.997,14.98416,12.3369333333333,14.31708,12.5067333333333,-0.00300450902029872,2.70699364314137,2.51259747327586,2.66145323012538,2.52626716594611
"662","oa12","ec",1.994,2.78728,2.2634,3.54824,3.31066666666667,0.690142671539647,1.02506620990478,0.816868107549704,1.26645170590255,1.19714957897781
"663","oa12","ec",2.991,0.86806,1.00483333333333,1.53646,1.26743333333333,1.09560777964781,-0.141494442286807,0.00482169027921342,0.429481069057213,0.236993858124258
"664","oa12","ec",3.988,0.56192,0.557733333333333,0.93104,0.871533333333333,1.38328985209959,-0.57639578797544,-0.583874328082203,-0.0714530380737773,-0.137501166522487
"665","oa12","ec",4.985,0.41782,0.4787,0.68834,0.529066666666667,1.6064334034138,-0.872704561211234,-0.736681182583674,-0.373472377071991,-0.636640831119638
"666","oa12","ec",5.982,0.35772,0.3487,0.58564,0.441166666666667,1.78875496020776,-1.02800472150416,-1.05354332530053,-0.535050012656856,-0.818332545983091
"667","oa12","ec",6.979,0.3482,0.352,0.68584,0.527433333333333,1.94290564003501,-1.05497825164805,-1.04412410338404,-0.377110914611637,-0.639732803925309
"668","oa12","ec",7.976,0.44294,0.4489,1.06894,0.8736,2.07643703265954,-0.814320958290438,-0.800955133194251,0.0666675032460142,-0.135132673991496
"669","oa12","ec",8.973,0.7351,1.09176666666667,2.88534,2.46616666666667,2.19422006831592,-0.307748734602095,0.0877971792772371,1.05964274396939,0.902664988292342
"670","oa12","ec",9.97,1.85344,2.14303333333333,10.08144,10.7123666666667,2.29958058397375,0.61704337189505,0.762222270889057,2.31069610958297,2.37139883732758
"671","oa12","ec",10.967,1.29288,1.1929,6.36546,8.0711,2.39489076377807,0.256872288058251,0.176387317305763,1.85088649962581,2.08828978030389
"672","oa12","ec",11.964,0.3187,0.3881,1.2058,1.33456666666667,2.4819021407677,-1.14350505755885,-0.946492240607276,0.187143247073168,0.288606644902916
"673","oa12","ec",12.961,0.20104,0.2641,0.52302,0.477566666666667,2.56194484844124,-1.6042513857468,-1.33142745967905,-0.648135574730597,-0.73905151275092
"674","oa12","ec",13.958,0.1585,0.213566666666667,0.39374,0.351366666666667,2.63605282059496,-1.8420006856648,-1.54380623900527,-0.932064485990196,-1.0459249663891
"675","oa12","ec",14.955,0.15472,0.212933333333333,0.31746,0.273966666666667,2.70504569208191,-1.86613824727715,-1.54677615130939,-1.14740345283804,-1.29474883449579
"676","oa12","ec",15.952,0.1717,0.264666666666667,0.3602,0.300966666666667,2.76958421321948,-1.76200651107871,-1.32928410640311,-1.02109584624028,-1.20075576233681
"677","oa12","ec",16.949,0.18666,0.303333333333333,0.34834,0.274233333333333,2.83020883503592,-1.67846649884454,-1.19292296813935,-1.0545762646785,-1.29377595347536
"678","oa12","ec",17.946,0.21528,0.364,0.36838,0.252866666666667,2.88736724887587,-1.53581577256349,-1.0106014113454,-0.99864026489118,-1.37489293839545
"679","oa12","ec",18.943,0.20576,0.3347,0.44968,0.320966666666667,2.94143447014614,-1.58104483793288,-1.09452067076486,-0.799219060288318,-1.13641800340401
"680","oa12","ec",19.94,0.21838,0.3162,0.45384,0.322033333333333,2.99272776453369,-1.52151861439622,-1.15138035420677,-0.790010565963825,-1.13310021912678
"681","oa12","ec",20.937,0.20428,0.302366666666667,0.40108,0.282166666666667,3.04151792870312,-1.58826367720269,-1.19611487002935,-0.913594370326412,-1.26525736607706
